ID,Name,Nonprofit_Commercial,Description
468,Mixxer,N,"ABOUT US: At Mixxer Community Makerspace we strive to level the playing field for learners by providing access to the tools, technology and knowledge they seek. We believe that with this access they can build more meaningful lives, pursue rewarding careers, and strengthen their communities. We are committed to giving everyone in the community the opportunity to reach their full potential. 

Our Mission: Mixxer’s mission is to grow a creative community that provides equitable access to tech, tools, and knowledge regardless of experience or background. 

Our Vision: A community where anyone has the opportunity to make anything. 

Our Values: Sharing. By sharing resources and knowledge, together we create mutual and enduring value for our community. Community Asset. Be a vital contributor to socioeconomic progress in our community. Creativity. Empower individuals and each other to create aha-moments.  "
130,The Forge,N,"What is Forge Greensboro?  

Like a gym for makers, the Forge is a haven for inventors, students, entrepreneurs, artisans, trade professionals, tinkerers, and hobbyists. Join with a monthly or annual subscription and gain access to tools, equipment, and workspace, or take a class to learn new skills. We are a non-profit community makerspace. 

WHAT IS THE FORGE? Forge Greensboro is a 501(c)3 nonprofit community makerspace. It is a place where hands-on people can gather to work on projects while sharing ideas, equipment, tools, and knowledge. Members of the Forge come from a diverse variety of backgrounds. Students, entrepreneurs, artisans, trade professionals, tinkerers, and hobbyists enjoy the space, community, and resources of Forge Greensboro. 

MISSION: The Forge's Mission is to foster a creative and collaborative environment for experimentation and development in making, skill building, technology, and art through interacting with the local community through education and cultural participation, and sharing the experience of making locally and globally.  

VISION: The Forge's Vision is to catalyze the spirit of making to improve quality of life, economic opportunity, and community awareness in our city. 

PHILOSOPHY: The Forge believes that fulfilling our mission is not only our responsibility to ourselves, it is our responsibility to the community around us. Making and using tools are universally human experiences . Looking into how we interact with each other, greet newcomers, and encourage ideas, questions, and feedback in our community. Reaching out to do more than invite and encourage diversity, but celebrating and highlighting why and how seeking and including diversity in our community makes it thrive. Knowledge, understanding, success and even makership have their standard definitions but mean different things to different people. To appropriately serve the community of Greensboro, all of these different perspectives on those familiar terms need to be represented and celebrated. The Forge needs the diversity of opinions, perspectives, and ideas that are offered by different ages, races, gender identities, sexual orientations, physical ability, religions, as well as social, educational, and economic backgrounds. "
30,Asheville Makers,N,"About: Asheville Makers is a makerspace in the Asheville area. We are friendly community of tinkerers, makers, engineers, educators, scientists, artists, hackers, geeks, etc. Anyone who is, aspires to be, or just wants to hang around with local smart, creative, friendly mad scientist folk is welcome! "
478,Makerspace of Greenville,N,"Our Mission. We are a non-profit group empowering the next generation of makers. Provide the community a place and tools for people to follow their passions and creativity. Offer a new way to re-engage our youth as active learners and gain valuable experience while developing creative and innovative skills. Promote artistic/engineering endeavors, non-traditional educational initiatives, and technological research and development. Place Makerspace of Greenville at the leading edge of the new “Innovation Economy.” Become a STEM/STEAM partner with local schools. "
483,Shopspace,N,"Come Build Something. ShopSpace is a comprehensive metal shop that focuses on forging, fabrication, knife making and jewelry. We offer a variety of classes at all skill levels, along with access to the shop and equipment. ShopSpace, a 501(c)3 nonprofit organization, is the brainchild of people who love crafts, especially metal and wood work, and who want to share that passion with others. Empowering individuals to envision and create is the foundation of our approach. We strive to provide a safe, supportive, and creative, and accessible environment to our community. ShopSpace programming started with a focus on metalworking and will evolve based on the needs and wants of the community we serve. We are focused on creating a dynamic, self-supporting organization with ever-changing opportunities for the community to build, create, learn and play. Future programming may include expanded capacity for woodworking, textiles and other crafts that utilize costly infrastructure, machinery and tools. We are a multi-faceted organization, with a physical space that celebrates and supports hands-on experiences. We offer workshop space, tools and equipment, and a culture that embraces all levels of expertise. The goals of our long-term vision are to encourage exploration and to build connections within the community. We offer welding classes, blacksmithing classes, jewelry making, knife making, and more. THE SPACE: The ShopSpace facility features a comprehensive metal shop and focuses on forging, fabrication, knife making, and jewelry. We offer a variety of classes at all skill levels, along with access to the shop and equipment. For special projects, private consultation is also available. Flexibility and functionality characterize the physical space, which includes workstations, teaching space, project storage and a tool resource area. Trained staff are on hand during all open hours to greet, supervise, support and teach users. THE LOCATION: Raleigh has earned national recognition as a center of innovation, creativity and entrepreneurship. Our population is increasingly diverse, and our culture reflects national trends toward ""do-it-yourself,"" a focus on locally-made and handcrafted goods, and an appreciation for arts, crafts and design.  The NCSU College of Design has long been a creative center, and graduates of the program are remaining in the area as young professionals and key influencers. Similar ventures have succeeded in other highly-educated, creative regions of the country; ShopSpace has a high potential for success since there is a distinct lack of such flexible space in the Triangle. "
385,Splatspace,N,"SplatSpace (previously known as Durham Makerspace) is a multidisciplinary workshop and hackerspace in downtown Durham. We are a 501(c)(3) non-profit, member-driven, member-funded organization. We are looking for crafters, engineers, mad scientists, artists, programmers, tinkerers, and makers of all kinds to join our organization. We provide members access to: Wood shop. Metal Shop. Laser Cutters. 3D Printers. Electronics & Soldering Stations. Vinyl Cutter. Large Format Printer. Hand Tools. Crafting Materials and Storage. A Community of Knowledgeable and Passionate Makers. During 2022 (related to ongoing COVID-19 restrictions) we hold online meetings on the first and third Tuesday of each month.  Once it is safe to do so, we will resume holding weekly meetings at Splatpace on Tuesday nights, as well as classes, events, and get-togethers to celebrate and share our strengths, learn from each other, and collaborate on projects. We are a community of hackers and makers, teachers and students.  Our ultimate goal is to reach out to each other and the surrounding community to share our passion for art, technology, and innovation. Through sharing this passion, SplatSpace members contribute to the technical and artistic vibrancy of Durham, and the Triangle as a whole. If you’d like to be involved, jump right in!  If you’ve never heard of a makerspace or hackerspace before, don’t worry.  It may seem hard to believe that our only real goal is to create a community around collaboration and innovation, but it’s true!  And we want you involved, too. "
268,Makerspace Charlotte,N,"Encouraging technological creativity and community by enabling people to use tools, learn by making things and to share knowledge. The Charlotte Makerspace features an expansive open floor plan spanning over 20,000 ft.². Multiple workshop zones house equipment for woodworking, metal fabrication, arts and crafts, technology, and more. There are open collaboration areas for informal gatherings or working on projects. To accommodate makers schedules, Charlotte Makerspace is open 24 hours a day, seven days a week. Members can come and go as needed, taking advantage of the extended hours to collaborate and build. The wealth of tools and around-the-clock access make Charlotte Makerspace an ideal creative hub for the local community. Our maker spaces are run by volunteers – – real ones. We are open and honest, hoping to help our fellow members or future members however we can. We’re bringing people together to help them excel in their craft. We try to help build community and friendships that allows everyone to realize their dream. Learning. Sharing. The perfect environment to growth both your craft and networking. The heart of our mission is to empower makers. Our membership is a great value, packed with services and amenities giving you and your family 24/7 access to the facilities. Many makers are running NC and other shops out of our space. Makerspace Charlotte is a 501©(3) Nonprofit corporation. "
470,Factory43,N,"Factory43 is a nonprofit community workshop. Our goal is to empower our community with the knowledge and resources that foster creativity and innovation. Our workshop is equipped with a wide variety of tooling and special machinery, informed that patient instructors, and creative agents for every beginner, expert, obvious, or inventor. At Factory 43, we are passionate about fueling creativity and pushing the boundaries of innovation. Our mission is simple: to provide a dynamic, cutting-edge space where members can turn their ideas into reality, unleashing their true potential as makers and innovators. Whether you're an aspiring entrepreneur, a seasoned artist, a DIY enthusiast, or a curious tinkerer, Factory 43 is the place to be! Within our cutting-edge facility, members will find state-of-the-art workshops, top-notch equipment,  and expert mentors to guide them through the process of prototyping, designing, and fabricating their projects. Our vision extends beyond the walls of our physical space. We aim to be a catalyst for economic growth, generating a new wave of entrepreneurs and businesses that will positively impact the Idaho Falls region. By nurturing talent and creating a culture of creativity, Factory 43 aims to contribute to the local economy while fostering a spirit of entrepreneurship. Join us in fueling the spark of innovation in Idaho Falls by supporting Factory 43. Together, we can make a lasting impact on our community and beyond. We appreciate everyone hoping factory 43 continue its mission to empower our community with the knowledge and resources that foster creativity and innovation. "
471,Tyler Innovation Pipeline,N,"what is the innovation pipeline? The innovation pipeline is a place and a network. It’s the intersection of innovative ideas and tools to build on those ideas. It’s a launchpad for businesses and a learning center. With a makerspace, business development workshops, recording studio and some lab, the innovation pipeline is one-of-a-kind… Just like you.  

Mission: Tyler innovation pipeline exists is both a place and a network of people that brings together those who embrace innovation, entrepreneurship, and community involvement, to enable grapevines to succeed, by offering a launchpad of tools and training.  

Vision: innovation for all.  

Core values: innovation, entrepreneurship, community involvement. "
472,Roswell Firelabs,N,"Our mission: we build community through making and promote personal growth through hands-on experience. Through our physical space, community events, and online content, we serve as a community amenity to the public. Roswell fire labs is a pivotal resource for anyone with the desire to turn passionate ideas into reality. "
473,Cape Cod Makers,N,"ABOUT US: Cape Cod Makers is engaged in promoting the Maker and DIY culture on Cape Cod. We do this through meetups, connecting local makers, hosting classes, group activities, promoting shared resources and maker spaces. There is an enormous amount of artistic and technical talent on Cape Cod in a wide variety of areas. Also, there are many people who like to learn new things and improve themselves. We are excited about the possibilities of bringing all these people together on and connecting ideas to grow the maker movement on Cape Cod. Cape Cod makers is a unity based and volunteer led organization; we rely on the generosity of volunteers and donors to keep our doors open and provide access to the tools, resources, and education necessary for people to bring their creative ideas to life. "
